Extensao,Quantidade,Tamanho[kByte]
zip,11,118246747 
pdf,45,116394895 
dmg,7,1461273576 
pptx,27,34182940 
png,6,121102 
pkt,2,287961 
replit 2,1,79 
docx,4,15026224 
e775e69359e5b4c2dcb1a19b2cbe35340c5409a0.parts,1,1255538 
DS_Store,1,6148 
rtf,1,3891 
pkg,2,14810461 
mp4,3,846553591 
rar,5,45150903 
pem,5,8520 
localized,1,0 
txt,5,31454 
svg,1,692 
crdownload,1,530238464 
xls,6,401627 
xlsx,2,89677 
replit,1,79 
c,3,8119 
doc,1,2141168 
java,1,726 
ipynb,1,17063 
jar,1,1404418 
jpg,1,13125 
odt,1,40760 
